escola,sexo,idade,endereco,tamanho_familia,status_pais,escolaridade_mae,escolaridade_pai,trabalho_mae,trabalho_pai,motivo_escolha,responsavel,tempo_deslocamento,tempo_estudo,reprovacoes,apoio_escola,apoio_familia,aulas_particulares,atividades_extracurriculares,creche,ensino_superior,internet,relacionamento,relacao_familiar,tempo_livre,sair_amigos,alcool_dias_uteis,alcool_fim_semana,saude,faltas,nota_1,nota_2,nota_final
GP,M,15,U,MA3,J,4,4,professora,saude,reputacao,mae,1,2,0,N,S,N,S,S,S,N,N,3,2,2,1,1,5,4,14,15,15
GP,M,15,U,ME3,J,1,2,outro,em_casa,perto_casa,pai,1,2,0,S,S,N,S,S,S,S,N,4,3,2,1,1,5,2,9,10,9
GP,F,16,U,MA3,J,4,2,servicos_publicos,outro,preferencia_curso,mae,1,2,0,N,S,N,N,S,S,S,N,4,2,3,1,1,5,2,15,16,16
GP,F,16,R,MA3,J,4,4,saude,professor,outro,mae,1,2,0,N,S,N,S,S,S,N,N,2,4,4,2,3,4,6,10,11,11
GP,F,16,U,MA3,J,1,1,servicos_publicos,servicos_publicos,preferencia_curso,pai,4,1,0,S,S,N,S,N,S,S,S,5,5,5,5,5,5,6,10,8,11
GP,F,16,U,ME3,J,1,2,outro,servicos_publicos,reputacao,pai,1,2,0,S,N,N,S,S,S,S,N,4,4,3,1,1,1,4,8,10,9
GP,F,16,U,MA3,J,4,3,professora,saude,perto_casa,mae,1,3,0,S,S,S,S,S,S,S,N,3,4,4,2,4,4,2,10,9,9
GP,F,15,U,ME3,J,4,3,servicos_publicos,servicos_publicos,reputacao,pai,1,2,0,S,N,N,S,S,S,S,S,4,4,4,2,4,2,0,10,10,10
GP,F,16,U,ME3,J,4,3,professora,servicos_publicos,preferencia_curso,mae,3,2,0,N,S,N,S,S,S,S,N,5,4,3,1,2,1,2,16,15,15
GP,M,15,U,MA3,S,4,4,outro,servicos_publicos,reputacao,mae,1,4,0,N,S,N,S,N,S,S,S,1,3,3,5,5,3,4,13,13,12
GP,F,16,U,MA3,J,3,1,servicos_publicos,outro,preferencia_curso,mae,1,4,0,S,S,S,N,S,S,S,N,4,3,3,1,2,5,4,7,7,6
GP,F,15,R,ME3,J,2,2,saude,servicos_publicos,reputacao,mae,2,2,0,S,S,S,N,S,S,S,N,4,1,3,1,3,4,2,8,9,8
GP,F,15,R,ME3,J,3,1,outro,outro,reputacao,pai,2,4,0,N,S,N,N,N,S,S,N,4,4,2,2,3,3,12,16,16,16
GP,M,16,U,MA3,J,3,1,outro,outro,reputacao,pai,2,4,0,N,S,S,N,S,S,S,N,4,3,2,1,1,5,0,13,15,15
GP,M,15,U,MA3,J,4,2,outro,outro,preferencia_curso,mae,1,4,0,N,N,N,N,S,S,S,N,3,3,3,1,1,3,0,10,10,10
GP,F,15,R,MA3,J,1,1,outro,outro,reputacao,mae,1,2,2,S,S,N,N,N,S,S,S,3,3,4,2,4,5,2,8,6,5
GP,M,16,U,MA3,J,3,1,outro,outro,reputacao,mae,1,1,0,N,N,N,S,S,S,N,N,5,3,2,2,2,5,2,12,12,14
GP,F,16,U,MA3,J,3,3,outro,servicos_publicos,perto_casa,mae,1,2,0,S,S,S,S,S,S,S,N,4,3,3,2,4,5,54,11,12,11
GP,M,15,U,MA3,J,4,3,professora,outro,perto_casa,mae,1,2,0,N,S,S,S,S,S,S,N,4,3,3,2,3,5,6,9,9,10
GP,M,15,U,MA3,J,4,0,professora,outro,preferencia_curso,mae,2,4,0,N,N,N,S,S,S,S,N,3,4,3,1,1,1,8,11,11,10
GP,F,16,U,MA3,J,2,2,outro,outro,reputacao,mae,1,4,0,N,N,S,N,S,S,S,S,5,2,3,1,3,3,0,11,11,11
GP,M,17,U,MA3,J,2,1,outro,outro,perto_casa,mae,2,1,3,S,S,N,S,S,N,S,N,4,5,1,1,1,3,2,8,8,10
GP,F,16,U,MA3,J,3,4,em_casa,outro,preferencia_curso,mae,1,2,0,N,S,N,N,S,S,S,N,2,4,3,1,2,3,12,5,5,5
GP,M,15,U,MA3,J,2,3,outro,servicos_publicos,preferencia_curso,pai,1,1,0,S,S,S,S,N,S,S,S,3,2,2,1,3,3,2,10,12,12
GP,M,15,U,MA3,J,2,3,outro,outro,perto_casa,mae,1,3,0,S,N,S,N,N,S,S,N,5,3,2,1,2,5,4,11,10,11
GP,F,15,U,ME3,J,3,2,servicos_publicos,outro,reputacao,mae,1,2,0,N,S,S,N,S,S,S,N,4,4,4,1,1,5,10,7,6,6
GP,M,15,U,ME3,J,2,2,servicos_publicos,servicos_publicos,perto_casa,mae,2,2,0,N,N,S,S,S,S,S,N,5,3,3,1,3,4,4,15,15,15
GP,F,15,U,MA3,J,1,1,outro,outro,perto_casa,pai,1,2,0,N,S,N,S,N,S,S,N,4,3,2,2,3,4,2,9,10,10
GP,F,15,U,MA3,J,4,4,servicos_publicos,servicos_publicos,reputacao,pai,2,2,2,N,N,S,N,S,S,S,S,4,4,4,2,3,5,6,7,9,8
GP,F,16,U,ME3,J,2,2,em_casa,outro,preferencia_curso,mae,1,2,0,N,S,N,N,S,S,N,N,4,3,4,1,2,2,4,8,7,6
GP,F,15,U,MA3,J,4,2,outro,outro,reputacao,mae,1,3,0,N,S,N,S,S,S,S,N,5,3,3,1,3,1,4,13,14,14
GP,M,16,U,MA3,J,2,2,servicos_publicos,outro,reputacao,pai,2,2,1,N,N,S,S,N,S,S,N,4,4,2,1,1,3,12,11,10,10
GP,M,16,U,ME3,S,4,4,professora,saude,reputacao,mae,1,2,0,N,S,N,N,S,S,N,N,4,1,3,3,5,5,18,8,6,7
GP,F,16,U,MA3,J,3,3,outro,outro,perto_casa,mae,1,3,0,N,S,S,N,S,S,S,S,4,3,3,1,3,4,0,7,7,8
GP,F,15,U,MA3,J,4,3,servicos_publicos,outro,reputacao,mae,1,1,0,N,N,S,S,S,S,S,N,4,5,5,1,3,1,4,16,17,18
GP,F,16,U,ME3,J,3,1,outro,outro,perto_casa,pai,1,2,0,S,S,N,N,S,S,N,N,3,3,3,2,3,2,4,7,6,6
GP,F,16,U,MA3,J,4,2,professora,servicos_publicos,perto_casa,mae,2,2,0,N,S,S,S,S,S,S,N,5,3,3,1,1,1,0,11,10,10
GP,M,15,U,ME3,J,2,2,servicos_publicos,saude,reputacao,mae,1,4,0,N,S,N,S,S,S,S,N,4,3,4,1,1,4,6,11,13,14
GP,F,15,R,MA3,J,1,1,em_casa,outro,perto_casa,mae,2,4,1,S,S,S,S,S,S,S,N,3,1,2,1,1,1,2,7,10,10
GP,M,16,R,MA3,J,4,3,servicos_publicos,outro,reputacao,mae,2,1,0,S,S,N,S,N,S,S,N,3,3,3,1,1,4,2,11,15,15
GP,F,16,U,MA3,J,2,1,outro,outro,preferencia_curso,mae,1,2,0,N,S,S,N,S,S,N,S,4,3,5,1,1,5,2,8,9,10
GP,F,16,U,MA3,J,4,4,outro,outro,reputacao,mae,1,1,0,N,N,N,S,N,S,S,N,5,3,4,1,2,1,6,11,14,14
GP,F,16,U,MA3,J,4,3,outro,em_casa,preferencia_curso,mae,1,3,0,S,S,S,N,S,S,S,N,5,3,5,1,1,3,0,7,9,8
GP,M,16,U,MA3,J,4,4,servicos_publicos,servicos_publicos,outro,mae,1,1,0,S,S,S,S,S,S,S,N,4,5,5,5,5,4,14,7,7,5
GP,M,16,U,MA3,J,4,4,servicos_publicos,professor,outro,pai,1,3,0,N,S,N,S,S,S,S,S,4,4,3,1,1,4,0,16,17,17
GP,M,15,U,MA3,J,4,4,servicos_publicos,outro,preferencia_curso,mae,1,1,0,N,S,N,S,N,S,S,N,5,3,3,1,1,5,4,10,13,14
GP,F,15,U,MA3,J,3,2,servicos_publicos,outro,perto_casa,mae,2,2,0,S,S,S,N,S,S,S,N,4,3,5,1,1,2,26,7,6,6
GP,M,15,U,MA3,S,3,4,servicos_publicos,outro,preferencia_curso,mae,1,2,0,N,S,S,S,S,S,S,N,5,4,4,1,1,1,0,16,18,18
GP,F,15,U,MA3,S,3,3,outro,saude,reputacao,pai,1,4,0,S,N,N,N,S,S,N,N,4,3,3,1,1,4,10,10,11,11
GP,F,15,U,MA3,J,2,2,outro,outro,preferencia_curso,mae,1,4,0,S,S,S,N,S,S,S,N,5,1,2,1,1,3,8,7,8,8
GP,M,16,U,MA3,J,3,3,servicos_publicos,outro,perto_casa,pai,1,3,0,N,S,N,S,S,S,S,N,5,3,3,1,1,5,2,16,18,18
GP,M,15,R,MA3,J,4,4,outro,outro,perto_casa,pai,4,4,0,N,S,S,S,S,S,S,S,1,3,5,3,5,1,6,10,13,13
GP,F,16,U,ME3,J,4,4,saude,saude,outro,mae,1,3,0,N,S,S,S,S,S,S,S,5,4,5,1,1,4,4,14,15,16
GP,M,15,U,ME3,S,4,4,professora,professor,preferencia_curso,mae,1,1,0,N,N,N,S,S,S,S,N,5,5,3,1,1,4,6,18,19,19
GP,F,16,R,MA3,J,3,3,servicos_publicos,outro,reputacao,pai,1,3,1,S,S,N,S,S,S,S,N,4,1,2,1,1,2,0,7,10,10
GP,F,16,U,MA3,J,2,2,em_casa,outro,perto_casa,mae,1,2,1,S,N,N,S,S,S,S,N,3,1,2,1,1,5,6,10,13,13
GP,M,15,U,ME3,J,4,2,professora,outro,preferencia_curso,mae,1,1,0,N,N,N,N,S,S,S,N,3,5,2,1,1,3,10,18,19,19
GP,M,15,R,MA3,J,2,1,saude,servicos_publicos,reputacao,mae,1,2,0,N,N,N,S,S,S,S,S,5,4,2,1,1,5,8,9,9,9
GP,M,16,U,MA3,J,4,4,professora,professor,preferencia_curso,pai,1,2,0,N,S,N,S,S,S,S,N,5,4,4,1,2,5,2,15,15,16
GP,M,15,U,MA3,J,4,4,outro,professor,reputacao,pai,2,2,0,N,S,N,S,S,S,N,N,4,4,3,1,1,2,2,11,13,14
GP,M,16,U,MA3,J,3,3,outro,servicos_publicos,perto_casa,pai,2,1,0,N,N,N,S,S,S,S,N,5,4,2,1,1,5,0,13,14,13
GP,M,17,R,MA3,J,1,3,outro,outro,preferencia_curso,pai,3,2,1,N,S,N,S,S,S,S,N,5,2,4,1,4,5,20,9,7,8
GP,M,15,U,MA3,J,3,4,outro,outro,reputacao,pai,1,1,0,N,N,N,N,S,S,S,N,3,4,3,1,2,4,6,14,13,13
GP,F,15,U,MA3,J,1,2,em_casa,servicos_publicos,preferencia_curso,mae,1,2,0,N,N,N,N,N,S,S,N,3,2,3,1,2,1,2,16,15,15
GP,M,15,U,MA3,J,2,2,servicos_publicos,servicos_publicos,perto_casa,pai,1,4,0,N,S,S,S,S,S,S,N,5,5,4,1,2,5,6,16,14,15
GP,F,16,U,ME3,J,2,4,outro,saude,preferencia_curso,pai,2,2,0,N,S,S,S,S,S,S,S,4,2,2,1,2,5,2,13,13,13
GP,M,16,U,MA3,J,4,4,saude,outro,preferencia_curso,mae,1,1,0,N,S,N,S,S,S,S,N,3,4,4,1,4,5,18,14,11,13
GP,F,16,U,MA3,J,2,2,outro,outro,perto_casa,mae,1,2,0,N,N,S,N,S,S,S,S,5,4,4,1,1,5,0,8,7,8
GP,M,15,U,MA3,J,3,4,servicos_publicos,servicos_publicos,perto_casa,pai,1,1,0,S,N,N,N,S,S,S,N,5,5,5,3,2,5,0,13,13,12
GP,F,15,U,ME3,S,3,4,outro,outro,perto_casa,mae,1,2,0,S,N,N,S,S,S,S,S,5,3,2,1,1,1,0,7,10,11
GP,F,19,U,MA3,J,0,1,em_casa,outro,preferencia_curso,outro,1,2,3,N,S,N,N,N,N,N,N,3,4,2,1,1,5,2,7,8,9
GP,M,18,R,MA3,J,2,2,servicos_publicos,outro,reputacao,mae,1,1,2,N,S,N,S,S,S,S,N,3,3,3,1,2,4,0,7,4,0
GP,M,16,R,MA3,J,4,4,professora,professor,preferencia_curso,mae,1,1,0,N,N,S,S,S,S,S,N,3,5,5,2,5,4,8,18,18,18
GP,F,15,R,MA3,J,3,4,servicos_publicos,professor,preferencia_curso,pai,2,3,2,N,S,N,N,S,S,S,S,4,2,2,2,2,5,0,12,0,0
GP,F,15,U,MA3,J,1,1,em_casa,outro,preferencia_curso,mae,3,1,0,N,S,N,S,N,S,S,S,4,3,3,1,2,4,0,8,0,0
GP,F,17,U,ME3,J,2,2,outro,outro,preferencia_curso,pai,1,1,0,N,S,N,N,S,S,S,S,3,4,4,1,3,5,12,10,13,12
GP,F,16,U,MA3,S,3,4,servicos_publicos,outro,preferencia_curso,pai,1,1,0,N,N,N,N,S,S,S,N,3,2,1,1,4,5,16,12,11,11
GP,M,15,R,MA3,J,3,4,em_casa,professor,preferencia_curso,mae,4,2,0,N,S,N,N,S,S,N,S,5,3,3,1,1,5,0,9,0,0
GP,F,15,U,MA3,J,4,4,servicos_publicos,em_casa,preferencia_curso,mae,1,3,0,N,S,N,S,S,S,S,S,4,3,3,1,1,5,0,11,0,0
GP,M,17,R,MA3,J,3,4,em_casa,outro,preferencia_curso,mae,3,2,0,N,N,N,N,S,S,N,N,5,4,5,2,4,5,0,10,0,0
GP,F,16,U,MA3,S,3,3,outro,outro,preferencia_curso,outro,2,1,2,N,S,N,S,N,S,S,S,4,3,2,1,1,5,0,4,0,0
GP,M,16,U,ME3,J,1,1,servicos_publicos,outro,preferencia_curso,mae,1,2,1,N,N,N,N,S,S,N,S,4,4,4,1,3,5,0,14,12,12
GP,F,15,U,MA3,J,4,4,professora,professor,preferencia_curso,mae,2,1,0,N,N,N,S,S,S,S,N,4,3,2,1,1,5,0,16,16,15
GP,M,15,U,MA3,J,4,3,professora,servicos_publicos,preferencia_curso,pai,2,4,0,S,S,N,N,S,S,S,N,2,2,2,1,1,3,0,7,9,0
GP,M,16,U,ME3,J,2,2,servicos_publicos,servicos_publicos,reputacao,pai,2,1,2,N,S,N,S,S,S,S,N,2,3,3,2,2,2,8,9,9,9
GP,F,15,U,MA3,J,4,4,professora,servicos_publicos,preferencia_curso,mae,1,3,0,N,S,S,S,S,S,S,N,4,2,2,1,1,5,2,9,11,11
GP,F,16,U,ME3,J,1,1,em_casa,em_casa,preferencia_curso,mae,1,1,0,N,N,N,N,S,S,S,N,3,4,4,3,3,1,2,14,14,13
GP,M,17,U,MA3,J,2,1,outro,outro,perto_casa,mae,1,1,3,N,S,N,N,S,S,S,N,5,4,5,1,2,5,0,5,0,0
GP,F,15,U,MA3,J,1,1,outro,servicos_publicos,preferencia_curso,pai,1,2,0,N,S,S,N,S,S,S,N,4,4,2,1,2,5,0,8,11,11
GP,F,15,U,MA3,J,3,2,saude,servicos_publicos,perto_casa,pai,1,2,3,N,S,N,N,S,S,S,N,3,3,2,1,1,3,0,6,7,0
GP,F,15,U,MA3,J,1,2,em_casa,outro,preferencia_curso,mae,1,2,0,N,S,S,N,N,S,S,N,4,3,2,1,1,5,2,10,11,11
GP,M,16,U,MA3,J,4,4,professora,professor,preferencia_curso,mae,1,1,0,N,S,N,N,S,N,S,S,3,3,2,2,1,5,0,7,6,0
GP,M,15,U,ME3,S,2,1,servicos_publicos,outro,preferencia_curso,mae,4,1,3,N,N,N,N,S,S,S,N,4,5,5,2,5,5,0,8,9,10
GP,M,18,U,ME3,J,1,1,outro,outro,preferencia_curso,mae,1,1,3,N,N,N,N,S,N,S,S,2,3,5,2,5,4,0,6,5,0
GP,M,16,U,ME3,J,2,1,em_casa,outro,preferencia_curso,mae,1,1,1,N,N,N,S,S,S,N,S,4,4,4,3,5,5,6,12,13,14
GP,F,15,R,MA3,J,3,3,servicos_publicos,servicos_publicos,reputacao,outro,2,3,2,N,S,S,S,S,S,S,S,4,2,1,2,3,3,8,10,10,10
GP,M,19,U,MA3,J,3,2,servicos_publicos,em_casa,perto_casa,mae,1,1,3,N,S,N,N,S,N,S,S,4,5,4,1,1,4,0,5,0,0
GP,F,17,U,MA3,J,4,4,outro,professor,preferencia_curso,mae,1,1,0,S,S,N,N,S,S,N,S,4,2,1,1,1,4,0,11,11,12
GP,M,15,R,MA3,J,2,3,em_casa,servicos_publicos,preferencia_curso,mae,1,2,0,S,N,S,S,S,S,N,N,4,4,4,1,1,1,2,11,8,8
GP,M,17,R,ME3,J,1,2,outro,outro,reputacao,mae,1,1,0,N,N,N,N,S,S,N,N,2,2,2,3,3,5,8,16,12,13
GP,F,18,R,MA3,J,1,1,em_casa,outro,preferencia_curso,mae,3,1,3,N,S,N,S,N,S,N,N,5,2,5,1,5,4,6,9,8,10
GP,M,16,R,MA3,J,2,2,em_casa,outro,preferencia_curso,mae,3,1,0,N,N,N,N,N,S,N,N,4,2,2,1,2,3,2,17,15,15
GP,M,16,U,MA3,J,3,3,outro,servicos_publicos,preferencia_curso,pai,1,2,1,N,S,S,N,S,S,S,S,4,5,5,4,4,5,4,10,12,12
GP,M,17,R,ME3,J,2,1,em_casa,outro,preferencia_curso,mae,2,1,2,N,N,N,S,S,N,S,S,3,3,2,2,2,5,0,7,6,0
GP,M,15,R,MA3,J,3,2,outro,outro,preferencia_curso,mae,2,2,2,S,S,N,N,S,S,S,S,4,4,4,1,4,3,6,5,9,7
GP,M,16,U,ME3,J,1,2,outro,outro,preferencia_curso,mae,2,1,1,N,N,N,S,S,S,N,N,4,4,4,2,4,5,0,7,0,0
GP,M,17,U,MA3,J,1,3,em_casa,servicos_publicos,preferencia_curso,pai,1,1,0,N,N,N,N,S,N,S,N,5,3,3,1,4,2,2,10,10,10
GP,M,17,R,ME3,J,1,1,outro,servicos_publicos,preferencia_curso,mae,4,2,3,N,N,N,S,S,N,N,S,5,3,5,1,5,5,0,5,8,7
GP,M,16,U,MA3,J,3,2,servicos_publicos,servicos_publicos,preferencia_curso,mae,2,1,1,N,S,N,S,N,N,N,N,4,5,2,1,1,2,16,12,11,12
GP,M,16,U,MA3,J,2,2,outro,outro,preferencia_curso,pai,1,2,0,N,N,N,N,S,N,S,N,4,3,5,2,4,4,4,10,10,10
GP,F,16,U,MA3,J,4,2,saude,servicos_publicos,perto_casa,pai,1,2,0,N,N,S,N,S,S,S,S,4,2,3,1,1,3,0,14,15,16
GP,F,16,U,MA3,J,2,2,outro,outro,perto_casa,mae,1,2,0,N,S,S,N,N,S,S,N,5,1,5,1,1,4,0,6,7,0
GP,F,16,U,MA3,J,4,4,saude,saude,reputacao,mae,1,2,0,N,S,S,N,S,S,S,S,4,4,2,1,1,3,0,14,14,14
GP,M,16,U,MA3,J,3,4,outro,outro,preferencia_curso,pai,3,1,2,N,S,N,S,N,S,S,N,3,4,5,2,4,2,0,6,5,0
